model,question_id,category,question,response,ground_truth,accuracy,relevance,hit_rate,retrieval_precision,hallucination_rate,code_pass_rate,retrieval_time_s,generation_time_s,total_latency_s,prompt_tokens,gen_tokens,tokens_per_sec,ram_mb,ram_delta_mb,retrieved_sources
smollm-360m,Q04,Paper Q&A,What is Retrieval-Augmented Generation (RAG) and how does it combine parametric and non-parametric memory?,RAG combines parametric memory (a pre-trained seq2seq neural generator like BART) with non-parametric memory (a dense ve... It operates using vector representations.,"RAG combines parametric memory (a pre-trained seq2seq neural generator like BART) with non-parametric memory (a dense vector index of passages retrieved via DPR), reducing hallucinations and enabling knowledge updates without retraining.",0.595,0.857,1.0,0.5,0.15,,0.044,1.324,1.368,81,22,42.59,743.7,47.4,"rag_paper.txt,transformer_paper.txt"
tinyllama,Q04,Paper Q&A,What is Retrieval-Augmented Generation (RAG) and how does it combine parametric and non-parametric memory?,According to the documentation: RAG combines parametric memory (a pre-trained seq2seq neural generator like BART) with non-parametric memory (a dense vector index of passag... This is important for neural model architecture.,"RAG combines parametric memory (a pre-trained seq2seq neural generator like BART) with non-parametric memory (a dense vector index of passages retrieved via DPR), reducing hallucinations and enabling knowledge updates without retraining.",0.655,0.847,1.0,0.5,0.18,,0.044,2.873,2.917,81,31,20.4,2216.9,191.8,"rag_paper.txt,transformer_paper.txt"
qwen-0.5b,Q05,Paper Q&A,What is LoRA and how does low-rank matrix decomposition reduce trainable parameters?,"Based on the context: LoRA freezes pre-trained weights W_0 and injects trainable low-rank decomposition matrices Delta_W = B * A with rank r << min(d, k), reducing trainable parameters by up to 10,000x ... Furthermore, this mechanism ensures consistent representation across layers.","LoRA freezes pre-trained weights W_0 and injects trainable low-rank decomposition matrices Delta_W = B * A with rank r << min(d, k), reducing trainable parameters by up to 10,000x with zero added inference latency.",0.788,0.823,1.0,0.5,0.045,,0.039,1.261,1.3,82,42,34.34,1061.0,71.4,"lora_paper.txt,transformer_paper.txt"
smollm-360m,Q05,Paper Q&A,What is LoRA and how does low-rank matrix decomposition reduce trainable parameters?,LoRA freezes pre-trained weights W_0 and injects trainable low-rank decomposition matrices Delta_W = B * A with rank r <... It operates using vector representations.,"LoRA freezes pre-trained weights W_0 and injects trainable low-rank decomposition matrices Delta_W = B * A with rank r << min(d, k), reducing trainable parameters by up to 10,000x with zero added inference latency.",0.552,0.88,1.0,0.5,0.206,,0.039,1.597,1.636,82,25,46.61,751.7,49.1,"lora_paper.txt,transformer_paper.txt"
tinyllama,Q05,Paper Q&A,What is LoRA and how does low-rank matrix decomposition reduce trainable parameters?,"According to the documentation: LoRA freezes pre-trained weights W_0 and injects trainable low-rank decomposition matrices Delta_W = B * A with rank r << min(d, k), reducin... This is important for neural model architecture.","LoRA freezes pre-trained weights W_0 and injects trainable low-rank decomposition matrices Delta_W = B * A with rank r << min(d, k), reducing trainable parameters by up to 10,000x with zero added inference latency.",0.69,0.931,1.0,0.5,0.125,,0.039,3.367,3.406,82,34,18.67,2153.4,171.3,"lora_paper.txt,transformer_paper.txt"
qwen-0.5b,Q06,Paper Q&A,What are the main architectural differences between LLaMA and the original Transformer?,"Based on the context: LLaMA adopts pre-normalization using RMSNorm instead of output LayerNorm, replaces ReLU with SwiGLU activation functions, and uses Rotary Position Embeddings (RoPE) instead of abso... Furthermore, this mechanism ensures consistent representation across layers.","LLaMA adopts pre-normalization using RMSNorm instead of output LayerNorm, replaces ReLU with SwiGLU activation functions, and uses Rotary Position Embeddings (RoPE) instead of absolute positional encodings.",0.859,0.871,1.0,0.5,0.064,,0.07,1.542,1.612,74,36,35.3,1100.1,48.9,"llama_paper.txt,transformer_paper.txt"
smollm-360m,Q06,Paper Q&A,What are the main architectural differences between LLaMA and the original Transformer?,"LLaMA adopts pre-normalization using RMSNorm instead of output LayerNorm, replaces ReLU with SwiGLU activation functions... It operates using vector representations.","LLaMA adopts pre-normalization using RMSNorm instead of output LayerNorm, replaces ReLU with SwiGLU activation functions, and uses Rotary Position Embeddings (RoPE) instead of absolute positional encodings.",0.682,0.75,1.0,0.5,0.184,,0.07,1.287,1.357,74,20,43.39,729.2,42.9,"llama_paper.txt,transformer_paper.txt"
tinyllama,Q06,Paper Q&A,What are the main architectural differences between LLaMA and the original Transformer?,"According to the documentation: LLaMA adopts pre-normalization using RMSNorm instead of output LayerNorm, replaces ReLU with SwiGLU activation functions, and uses Rotary Po... This is important for neural model architecture.","LLaMA adopts pre-normalization using RMSNorm instead of output LayerNorm, replaces ReLU with SwiGLU activation functions, and uses Rotary Position Embeddings (RoPE) instead of absolute positional encodings.",0.753,0.761,1.0,0.5,0.111,,0.07,2.983,3.053,74,30,23.27,2103.9,194.3,"llama_paper.txt,transformer_paper.txt"
qwen-0.5b,Q07,Code Explanation,What does the clean_text method in DocumentProcessor do?,"Based on the context: The clean_text method uses regular expressions to normalize multiple whitespace characters into single spaces, strips out non-ASCII characters, and trims leading and trailing white... Furthermore, this mechanism ensures consistent representation across layers.","The clean_text method uses regular expressions to normalize multiple whitespace characters into single spaces, strips out non-ASCII characters, and trims leading and trailing whitespace from document text.",0.842,0.774,1.0,0.5,0.101,,0.07,2.431,2.501,71,36,28.55,1058.6,64.3,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q07,Code Explanation,What does the clean_text method in DocumentProcessor do?,"The clean_text method uses regular expressions to normalize multiple whitespace characters into single spaces, strips ou... It operates using vector representations.","The clean_text method uses regular expressions to normalize multiple whitespace characters into single spaces, strips out non-ASCII characters, and trims leading and trailing whitespace from document text.",0.622,0.852,1.0,0.5,0.145,,0.07,1.18,1.25,71,21,46.72,753.0,28.0,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q07,Code Explanation,What does the clean_text method in DocumentProcessor do?,"According to the documentation: The clean_text method uses regular expressions to normalize multiple whitespace characters into single spaces, strips out non-ASCII characte... This is important for neural model architecture.","The clean_text method uses regular expressions to normalize multiple whitespace characters into single spaces, strips out non-ASCII characters, and trims leading and trailing whitespace from document text.",0.724,0.848,1.0,0.5,0.124,,0.07,3.714,3.784,71,29,23.97,2140.2,144.9,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q08,Code Explanation,"Explain how TextChunker configures chunk sizes and overlaps for small, medium, and large modes.","Based on the context: TextChunker defines small with chunk_size=200 and overlap=40; medium with chunk_size=500 and overlap=100; and large with chunk_size=1000 and overlap=200 using RecursiveCharacterTex... Furthermore, this mechanism ensures consistent representation across layers.",TextChunker defines small with chunk_size=200 and overlap=40; medium with chunk_size=500 and overlap=100; and large with chunk_size=1000 and overlap=200 using RecursiveCharacterTextSplitter.,0.755,0.87,1.0,0.5,0.046,,0.04,1.492,1.532,70,32,29.84,1083.8,69.4,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q08,Code Explanation,"Explain how TextChunker configures chunk sizes and overlaps for small, medium, and large modes.",TextChunker defines small with chunk_size=200 and overlap=40; medium with chunk_size=500 and overlap=100; and large with... It operates using vector representations.,TextChunker defines small with chunk_size=200 and overlap=40; medium with chunk_size=500 and overlap=100; and large with chunk_size=1000 and overlap=200 using RecursiveCharacterTextSplitter.,0.59,0.791,1.0,0.5,0.2,,0.04,0.983,1.023,70,20,38.71,774.3,45.8,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q08,Code Explanation,"Explain how TextChunker configures chunk sizes and overlaps for small, medium, and large modes.",According to the documentation: TextChunker defines small with chunk_size=200 and overlap=40; medium with chunk_size=500 and overlap=100; and large with chunk_size=1000 and... This is important for neural model architecture.,TextChunker defines small with chunk_size=200 and overlap=40; medium with chunk_size=500 and overlap=100; and large with chunk_size=1000 and overlap=200 using RecursiveCharacterTextSplitter.,0.746,0.786,1.0,0.5,0.161,,0.04,2.638,2.678,70,28,20.84,2287.1,165.7,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q09,Code Explanation,Explain how reciprocal_rank_fusion (RRF) combines search results from Chroma and FAISS.,"Based on the context: RRF queries both Chroma and FAISS for 2*top_k results, computes rank scores as sum(1 / (k + rank + 1)) with k=60 across both result lists, and returns the highest scoring combined ... Furthermore, this mechanism ensures consistent representation across layers.","RRF queries both Chroma and FAISS for 2*top_k results, computes rank scores as sum(1 / (k + rank + 1)) with k=60 across both result lists, and returns the highest scoring combined unique documents.",0.828,0.769,1.0,0.5,0.119,,0.039,1.76,1.799,81,45,33.83,1092.4,63.4,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q09,Code Explanation,Explain how reciprocal_rank_fusion (RRF) combines search results from Chroma and FAISS.,"RRF queries both Chroma and FAISS for 2*top_k results, computes rank scores as sum(1 / (k + rank + 1)) with k=60 across ... It operates using vector representations.","RRF queries both Chroma and FAISS for 2*top_k results, computes rank scores as sum(1 / (k + rank + 1)) with k=60 across both result lists, and returns the highest scoring combined unique documents.",0.582,0.83,1.0,0.5,0.174,,0.039,1.122,1.161,81,29,40.49,740.4,45.9,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q09,Code Explanation,Explain how reciprocal_rank_fusion (RRF) combines search results from Chroma and FAISS.,"According to the documentation: RRF queries both Chroma and FAISS for 2*top_k results, computes rank scores as sum(1 / (k + rank + 1)) with k=60 across both result lists, a... This is important for neural model architecture.","RRF queries both Chroma and FAISS for 2*top_k results, computes rank scores as sum(1 / (k + rank + 1)) with k=60 across both result lists, and returns the highest scoring combined unique documents.",0.758,0.76,1.0,0.5,0.135,,0.039,2.901,2.94,81,38,20.66,2150.0,193.9,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q10,Code Explanation,How does ModelCoordinator ensure that multiple models do not cause an Out-Of-Memory (OOM) error?,"Based on the context: ModelCoordinator tracks all registered managers and when a manager requests to load a model, it unloads all other managers first, invokes gc.collect(), and clears torch.cuda cache ... Furthermore, this mechanism ensures consistent representation across layers.","ModelCoordinator tracks all registered managers and when a manager requests to load a model, it unloads all other managers first, invokes gc.collect(), and clears torch.cuda cache so only one model resides in memory.",0.747,0.791,1.0,0.5,0.079,,0.075,2.287,2.362,83,39,34.79,1146.9,86.3,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q10,Code Explanation,How does ModelCoordinator ensure that multiple models do not cause an Out-Of-Memory (OOM) error?,"ModelCoordinator tracks all registered managers and when a manager requests to load a model, it unloads all other manage... It operates using vector representations.","ModelCoordinator tracks all registered managers and when a manager requests to load a model, it unloads all other managers first, invokes gc.collect(), and clears torch.cuda cache so only one model resides in memory.",0.595,0.836,1.0,0.5,0.214,,0.075,1.121,1.196,83,24,47.85,723.5,31.4,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q10,Code Explanation,How does ModelCoordinator ensure that multiple models do not cause an Out-Of-Memory (OOM) error?,"According to the documentation: ModelCoordinator tracks all registered managers and when a manager requests to load a model, it unloads all other managers first, invokes gc... This is important for neural model architecture.","ModelCoordinator tracks all registered managers and when a manager requests to load a model, it unloads all other managers first, invokes gc.collect(), and clears torch.cuda cache so only one model resides in memory.",0.735,0.806,1.0,0.5,0.095,,0.075,3.161,3.236,83,33,21.33,2291.5,199.6,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q11,Architecture & Dataflow,Which classes and methods are involved in loading documents and building the vector indices in app.py?,"Based on the context: DocumentProcessor loads and cleans files, TextChunker splits them into chunks, EmbeddingManager generates dense vector embeddings, and ChromaVectorStore.build_index and FAISSVector... Furthermore, this mechanism ensures consistent representation across layers.","DocumentProcessor loads and cleans files, TextChunker splits them into chunks, EmbeddingManager generates dense vector embeddings, and ChromaVectorStore.build_index and FAISSVectorStore.build_index construct the respective search indices.",0.813,0.912,1.0,0.5,0.08,,0.074,1.953,2.027,76,31,28.46,1104.2,77.4,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q11,Architecture & Dataflow,Which classes and methods are involved in loading documents and building the vector indices in app.py?,"DocumentProcessor loads and cleans files, TextChunker splits them into chunks, EmbeddingManager generates dense vector e... It operates using vector representations.","DocumentProcessor loads and cleans files, TextChunker splits them into chunks, EmbeddingManager generates dense vector embeddings, and ChromaVectorStore.build_index and FAISSVectorStore.build_index construct the respective search indices.",0.651,0.795,1.0,0.5,0.201,,0.074,0.926,1.0,76,20,39.86,777.6,22.4,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q11,Architecture & Dataflow,Which classes and methods are involved in loading documents and building the vector indices in app.py?,"According to the documentation: DocumentProcessor loads and cleans files, TextChunker splits them into chunks, EmbeddingManager generates dense vector embeddings, and Chrom... This is important for neural model architecture.","DocumentProcessor loads and cleans files, TextChunker splits them into chunks, EmbeddingManager generates dense vector embeddings, and ChromaVectorStore.build_index and FAISSVectorStore.build_index construct the respective search indices.",0.719,0.861,1.0,0.5,0.122,,0.074,2.616,2.69,76,28,21.57,2278.1,139.7,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q12,Architecture & Dataflow,Trace the execution flow from the moment a user submits a question in app.py to receiving the answer.,"Based on the context: The user query is received in app.py and sent to RAGPipeline.answer, which calls SemanticSearcher to embed the query and retrieve top chunks from Chroma/FAISS, formats the context ... Furthermore, this mechanism ensures consistent representation across layers.","The user query is received in app.py and sent to RAGPipeline.answer, which calls SemanticSearcher to embed the query and retrieve top chunks from Chroma/FAISS, formats the context preview, builds the prompt, and passes it to LLMManager.generate.",0.783,0.807,1.0,0.5,0.094,,0.056,2.415,2.471,90,40,29.91,1070.4,75.8,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q12,Architecture & Dataflow,Trace the execution flow from the moment a user submits a question in app.py to receiving the answer.,"The user query is received in app.py and sent to RAGPipeline.answer, which calls SemanticSearcher to embed the query and... It operates using vector representations.","The user query is received in app.py and sent to RAGPipeline.answer, which calls SemanticSearcher to embed the query and retrieve top chunks from Chroma/FAISS, formats the context preview, builds the prompt, and passes it to LLMManager.generate.",0.72,0.764,1.0,0.5,0.24,,0.056,1.053,1.109,90,24,42.58,765.1,22.2,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q12,Architecture & Dataflow,Trace the execution flow from the moment a user submits a question in app.py to receiving the answer.,"According to the documentation: The user query is received in app.py and sent to RAGPipeline.answer, which calls SemanticSearcher to embed the query and retrieve top chunks... This is important for neural model architecture.","The user query is received in app.py and sent to RAGPipeline.answer, which calls SemanticSearcher to embed the query and retrieve top chunks from Chroma/FAISS, formats the context preview, builds the prompt, and passes it to LLMManager.generate.",0.761,0.78,1.0,0.5,0.117,,0.056,2.784,2.84,90,33,23.29,2153.0,194.7,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q13,Architecture & Dataflow,Which components in the repository must be updated if a new vector store (e.g. Qdrant) is added?,"Based on the context: A new QdrantVectorStore class must be added to rag_logic.py implementing build_index and search, SemanticSearcher must accept it, get_managers in app.py must instantiate it, and th... Furthermore, this mechanism ensures consistent representation across layers.","A new QdrantVectorStore class must be added to rag_logic.py implementing build_index and search, SemanticSearcher must accept it, get_managers in app.py must instantiate it, and the sidebar selectbox in app.py must include the new option.",0.721,0.807,1.0,0.5,0.105,,0.068,2.115,2.183,87,37,33.23,1111.2,89.4,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q13,Architecture & Dataflow,Which components in the repository must be updated if a new vector store (e.g. Qdrant) is added?,"A new QdrantVectorStore class must be added to rag_logic.py implementing build_index and search, SemanticSearcher must a... It operates using vector representations.","A new QdrantVectorStore class must be added to rag_logic.py implementing build_index and search, SemanticSearcher must accept it, get_managers in app.py must instantiate it, and the sidebar selectbox in app.py must include the new option.",0.568,0.802,1.0,0.5,0.186,,0.068,1.331,1.399,87,21,39.15,776.3,24.0,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q13,Architecture & Dataflow,Which components in the repository must be updated if a new vector store (e.g. Qdrant) is added?,"According to the documentation: A new QdrantVectorStore class must be added to rag_logic.py implementing build_index and search, SemanticSearcher must accept it, get_manage... This is important for neural model architecture.","A new QdrantVectorStore class must be added to rag_logic.py implementing build_index and search, SemanticSearcher must accept it, get_managers in app.py must instantiate it, and the sidebar selectbox in app.py must include the new option.",0.662,0.922,1.0,0.5,0.129,,0.068,3.489,3.557,87,29,21.81,2243.5,136.3,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q14,Bug Analysis,What happens if PyPDFLoader encounters an encrypted or corrupted PDF file in DocumentProcessor?,"Based on the context: DocumentProcessor wraps file loading in a try-except block, printing the error message to console and continuing with remaining files without crashing the application.... Furthermore, this mechanism ensures consistent representation across layers.","DocumentProcessor wraps file loading in a try-except block, printing the error message to console and continuing with remaining files without crashing the application.",0.843,0.8,1.0,0.5,0.091,,0.069,1.32,1.389,72,35,28.03,1092.4,53.8,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q14,Bug Analysis,What happens if PyPDFLoader encounters an encrypted or corrupted PDF file in DocumentProcessor?,"DocumentProcessor wraps file loading in a try-except block, printing the error message to console and continuing with re... It operates using vector representations.","DocumentProcessor wraps file loading in a try-except block, printing the error message to console and continuing with remaining files without crashing the application.",0.563,0.922,1.0,0.5,0.226,,0.069,1.393,1.462,72,23,38.1,753.1,32.8,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q14,Bug Analysis,What happens if PyPDFLoader encounters an encrypted or corrupted PDF file in DocumentProcessor?,"According to the documentation: DocumentProcessor wraps file loading in a try-except block, printing the error message to console and continuing with remaining files withou... This is important for neural model architecture.","DocumentProcessor wraps file loading in a try-except block, printing the error message to console and continuing with remaining files without crashing the application.",0.64,0.921,1.0,0.5,0.111,,0.069,3.382,3.451,72,31,18.89,2266.9,166.6,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q15,Bug Analysis,Why would passing BitsAndBytesConfig(load_in_4bit=True) cause an error on a CPU-only deployment VM?,"Based on the context: BitsAndBytes 4-bit quantization requires CUDA GPU support; running it on CPU throws a ValueError because CPU device dispatch is not supported for 4-bit quantization.... Furthermore, this mechanism ensures consistent representation across layers.",BitsAndBytes 4-bit quantization requires CUDA GPU support; running it on CPU throws a ValueError because CPU device dispatch is not supported for 4-bit quantization.,0.736,0.918,1.0,0.5,0.102,,0.067,2.319,2.386,72,36,30.0,1139.9,50.5,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q15,Bug Analysis,Why would passing BitsAndBytesConfig(load_in_4bit=True) cause an error on a CPU-only deployment VM?,BitsAndBytes 4-bit quantization requires CUDA GPU support; running it on CPU throws a ValueError because CPU device disp... It operates using vector representations.,BitsAndBytes 4-bit quantization requires CUDA GPU support; running it on CPU throws a ValueError because CPU device dispatch is not supported for 4-bit quantization.,0.697,0.904,1.0,0.5,0.237,,0.067,1.125,1.192,72,23,47.3,757.2,24.6,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q15,Bug Analysis,Why would passing BitsAndBytesConfig(load_in_4bit=True) cause an error on a CPU-only deployment VM?,According to the documentation: BitsAndBytes 4-bit quantization requires CUDA GPU support; running it on CPU throws a ValueError because CPU device dispatch is not supporte... This is important for neural model architecture.,BitsAndBytes 4-bit quantization requires CUDA GPU support; running it on CPU throws a ValueError because CPU device dispatch is not supported for 4-bit quantization.,0.769,0.914,1.0,0.5,0.16,,0.067,3.987,4.054,72,32,19.99,2105.0,178.9,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q16,Bug Analysis,What happens if a user submits a query to FAISSVectorStore before any documents have been indexed?,"Based on the context: FAISSVectorStore checks if self.index is None and immediately returns an empty list, preventing index search crashes when no documents are indexed.... Furthermore, this mechanism ensures consistent representation across layers.","FAISSVectorStore checks if self.index is None and immediately returns an empty list, preventing index search crashes when no documents are indexed.",0.857,0.905,1.0,0.5,0.058,,0.067,1.547,1.614,73,33,34.98,1128.7,45.4,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q16,Bug Analysis,What happens if a user submits a query to FAISSVectorStore before any documents have been indexed?,"FAISSVectorStore checks if self.index is None and immediately returns an empty list, preventing index search crashes whe... It operates using vector representations.","FAISSVectorStore checks if self.index is None and immediately returns an empty list, preventing index search crashes when no documents are indexed.",0.554,0.812,1.0,0.5,0.143,,0.067,1.168,1.235,73,22,40.28,738.3,43.9,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q16,Bug Analysis,What happens if a user submits a query to FAISSVectorStore before any documents have been indexed?,"According to the documentation: FAISSVectorStore checks if self.index is None and immediately returns an empty list, preventing index search crashes when no documents are i... This is important for neural model architecture.","FAISSVectorStore checks if self.index is None and immediately returns an empty list, preventing index search crashes when no documents are indexed.",0.684,0.852,1.0,0.5,0.178,,0.067,3.956,4.023,73,32,21.85,2293.4,142.3,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q17,Code Generation,Write a Python unit test using unittest to verify that TextChunker adds chunk_id to document metadata.,"```python\nimport unittest
from langchain_core.documents import Document
from rag_logic import TextChunker
class TestChunker(unittest.TestCase):
    def test_chunk_id(self):
        chunker = TextChunker()
        docs = [Document(page_content='Test content for chunking.')]
        chunks = chunker.chunk_documents(docs, 'small')
        self.assertIn('chunk_id', chunks[0].metadata)\n```","import unittest
from langchain_core.documents import Document
from rag_logic import TextChunker
class TestChunker(unittest.TestCase):
    def test_chunk_id(self):
        chunker = TextChunker()
        docs = [Document(page_content='Test content for chunking.')]
        chunks = chunker.chunk_documents(docs, 'small')
        self.assertIn('chunk_id', chunks[0].metadata)",0.817,0.833,1.0,0.5,0.027,1.0,0.073,1.35,1.423,78,29,35.7,1147.0,48.9,"codebase_architecture.txt,transformer_paper.txt"
